YEAR,WATERS,FISHERY,MONTH,DAYTYPE,PHOURS,SDPHOURS,PARTY,INDHRS,SDINDHRS,MTRIP,TRIPS,SDTRIPS,NINTS,HOURS,VHOURS,VPHOURS,VINDHRS,VTRIPS
2014,WI,Cold-Open,May,Weekday,31.0808324793832,9.50415636285012,1,31.0808324793832,9.50415636285012,2.25,13.8137033241703,4.22406949460005,1,2.25,5.0625,90.3289881695044,90.3289881695044,17.8427630952108
2014,WI,Cold-Open,May,Weekend,970.539800640433,298.123872400732,1.77516141283707,1722.86480371948,529.217994531342,3.98939393939394,243.280010794791,74.7291134768261,11,43.8833333333333,213.9575,88877.843295208,280071.685735775,5584.44040103236
2014,WI,Cold-Open,May,All,1001.62063311982,298.275329659323,1.75110773301038,1753.94563619886,529.303329598393,3.89593591018857,257.093714118962,74.8484012129021,12,46.1333333333333,219.02,88968.1722833775,280162.014723945,5602.28316412757
2014,WI,Cold-Open,Jun,Weekday,566.032439791921,251.0625549215,2.56933198380567,1454.32525142894,645.063052295778,5.63666666666667,100.41971137645,44.5409618429628,6,32.9333333333333,197.756666666667,63032.4064837114,416106.341437146,1983.89728189627
2014,WI,Cold-Open,Jun,Weekend,321.740241052914,136.491327131439,1.84576485461441,593.856829250638,251.930894578889,6.59166666666667,48.8101503493675,20.7066488694978,4,26.3666666666667,187.912777777778,18629.8823821016,63469.1756433195,428.765307404673
2014,WI,Cold-Open,Jun,All,887.772680844835,285.766143666133,2.30710194723547,2048.18208067958,692.513911109708,5.94902836857114,149.229861725817,49.1188618485907,10,59.3,385.669444444444,81662.288865813,479575.517080465,2412.66258930094
2014,WI,Cold-Open,Jul,Weekday,884.571158810588,159.365729938907,2,1769.14231762118,318.731459877814,6.4875,136.350082282942,24.5650450772882,4,25.95,184.3975,25397.4358789606,101589.743515842,603.441439649199
2014,WI,Cold-Open,Jul,Weekend,683.071647164611,178.678637370545,2.30708661417323,1575.90545369473,412.227092516298,5.29166666666667,129.084405763391,33.7660417078196,6,31.75,179.4075,31926.0554525949,169931.17580444,1140.14557261421
2014,WI,Cold-Open,Jul,All,1567.6428059752,239.423247266333,2.13380736897843,3345.04777131591,521.076692359467,5.90594996721585,265.434488046333,41.7562811115096,10,57.7,363.805,57323.4913315555,271520.919320283,1743.58701226341
2014,WI,Cold-Open,Aug,Weekday,845.198901444449,135.067809894931,2.64423552696685,2234.90496255276,357.151101473781,5.61388888888889,150.554975022267,24.059580189102,6,33.6833333333333,194.994722222222,18243.3132698132,127556.909283935,578.863398875829
2014,WI,Cold-Open,Aug,Weekend,1064.46642470399,184.226310031509,2.48512110726644,2645.32798000833,457.824691573113,4.81666666666667,220.996489557922,38.2476768231506,10,48.1666666666667,250.383333333333,33939.3333078256,209603.448214016,1462.88478236817
2014,WI,Cold-Open,Aug,All,1909.66532614844,228.435213085984,2.55554356867542,4880.23294256109,580.6551106276,5.1397060924148,371.551464580189,45.1857077098943,16,81.85,445.378055555556,52182.6465776388,337160.35749795,2041.748181244
2014,WI,Cold-Open,Sep,Weekday,758.487105933746,338.798606317866,1.63019943019943,1236.48524790681,552.309294971746,4.17857142857143,181.518281761922,81.0800083495747,7,29.25,132.613055555556,114784.495642928,305045.557312187,6573.96775396711
2014,WI,Cold-Open,Sep,Weekend,178.199038353172,53.2511984381066,2.18714011516315,389.74626526572,116.467832284496,3.47333333333333,51.3049054759613,15.331439089666,5,17.3666666666667,65.0733333333333,2835.69013509461,13564.7559570495,235.053024560139
2014,WI,Cold-Open,Sep,All,936.686144286918,342.957994188826,1.73615412493429,1626.23151317253,564.455767327464,4.02316519844681,232.823187237883,82.5167908884443,12,46.6166666666667,197.686388888889,117620.185778023,318610.313269237,6809.02077852725
2014,WI,Cold-Open,All,Weekday,3085.37043846009,470.688835924099,2.17994524357535,6725.93861198907,974.878905576113,5.29534827925452,582.656753767751,98.7826535252198,24,124.066666666667,714.824444444444,221547.980263583,950388.880537279,9758.01263748361
2014,WI,Cold-Open,All,Weekend,3218.01715191512,419.772324686639,2.15278570775052,6927.7013319389,858.277485056319,4.6404162920169,693.475961941434,94.0812897869686,36,167.533333333333,896.734444444444,176208.804572825,736640.2413546,8851.28908797956
2014,WI,Cold-Open,All,All,6303.38759037521,630.679621389821,2.16607970685097,13653.639943928,1298.85685196325,4.93944517900102,1276.13271570918,136.415914487508,60,291.6,1611.55888888889,397756.784836408,1687029.12189188,18609.3017254632
2014,WI,Warm-Open,May,Weekday,1528.25604443071,467.322888419253,2.23546248870142,3416.35906045605,1044.68278717284,7.90238095238095,193.391846538384,59.1369729244008,14,110.633333333333,932.323333333333,218390.682040513,1091362.12581521,3497.18156666131
2014,WI,Warm-Open,May,Weekend,1555.14903870186,477.700196604136,1.77719838824366,2763.80836505961,848.968019468549,3.90648148148148,398.09456311875,122.28400387117,18,70.3166666666667,300.781388888889,228197.47783563,720746.698080351,14953.3776027643
2014,WI,Warm-Open,May,All,3083.40508313256,668.272519168747,2.00433198327512,6180.16742551567,1346.14591478619,5.21297705710587,591.486409657134,135.832835387566,32,180.95,1233.10472222222,446588.159876143,1812108.82389556,18450.5591694256
2014,WI,Warm-Open,Jun,Weekday,4863.98321238199,2157.41001142059,2.29475853945819,11161.6670123948,4950.73504681997,6.18888888888889,785.92188350876,348.594077249287,46,283,2119.59,4654417.95737777,24509777.5038115,121517.830693282
