YEAR,WATERS,FISHERY,MONTH,DAYTYPE,PHOURS,SDPHOURS,PARTY,INDHRS,SDINDHRS,MTRIP,TRIPS,SDTRIPS,NINTS,HOURS,VHOURS,VPHOURS,VINDHRS,VTRIPS
2014,WI,Cold-Open,May,Weekday,1130.52488303874,270.178752661896,1.81247719810288,2049.05057239564,489.692828611566,4.56833333333333,247.469875893193,59.1416459675804,30,137.05,729.751388888889,72996.5583899382,239799.066393596,3497.73428775462
2014,WI,Cold-Open,May,Weekend,1092.1463312993,290.357363917117,2.45972098545563,2686.37525028526,714.198101308508,6.10326086956522,178.94472391725,47.5741362072569,46,280.75,2027.19638888889,84307.3987808969,510078.927912678,2263.29843586663
2014,WI,Cold-Open,May,All,2222.67121433804,396.615629004752,2.13051115798574,4735.4258226809,865.954960899396,5.21246508756055,426.414599810442,75.9014672033502,76,417.8,2756.94777777778,157303.957170835,749877.994306274,5761.03272362125
2014,WI,Cold-Open,Jun,Weekday,1208.93060648801,280.616442473342,2.20028551034975,2659.99249647391,617.436292339988,4.86458333333333,248.516784203103,57.6856070180745,24,116.75,687.206944444445,78745.5877863943,381227.575098551,3327.62925704373
2014,WI,Cold-Open,Jun,Weekend,659.861382030679,235.550482688674,2.85892431142919,1886.49374726077,673.42100152753,5.69259259259259,115.915792549306,41.3784192101119,27,153.7,1029.80111111111,55484.0298948672,453495.845298342,1712.17357632775
2014,WI,Cold-Open,Jun,All,1868.79198851869,366.373603963579,2.43284767468341,4546.48624373468,913.631993965236,5.12794988080422,364.432576752409,70.9915687484893,51,270.45,1717.00805555556,134229.617681262,834723.420396893,5039.80283337148
2014,WI,Cold-Open,Jul,Weekday,1473.83782688316,294.618680388206,2.2709136853305,3346.95849102674,669.053593247588,4.8198717948718,305.783616164083,61.1258334094429,26,125.316666666667,721.508055555556,86800.1668336878,447632.710637509,3736.36750999896
2014,WI,Cold-Open,Jul,Weekend,1443.81959731544,444.352529958448,2.48458748866727,3587.29610738255,1104.03273649241,5.36172839506173,269.282494548815,82.8748674341107,28,147.066666666667,984.804444444444,197449.170880474,1218888.28324692,6868.24365222143
2014,WI,Cold-Open,Jul,All,2917.6574241986,533.150389396989,2.3766513987892,6934.25459840929,1290.93802867699,5.0736034863568,575.066110712898,102.978692758358,54,272.383333333333,1706.3125,284249.337714161,1666520.99388443,10604.6111622204
2014,WI,Cold-Open,Aug,Weekday,894.235520995334,304.437024086363,2.49928825622776,2234.95233592535,760.875879059974,5.2037037037037,171.845972006221,58.5039121020057,9,46.8333333333333,303.842222222222,92681.9016345608,578932.103335288,3422.70773123921
2014,WI,Cold-Open,Aug,Weekend,817.100515668385,225.430744935076,2.86386554621849,2340.06601462005,645.603343477932,5.40909090909091,151.060599535332,41.6762721728712,22,119,733.119444444444,50819.0207619833,416803.677109885,1736.91166222724
2014,WI,Cold-Open,Aug,All,1711.33603666372,378.815155975238,2.67336060979846,4575.0183505454,997.86561241741,5.29978695848096,322.906571541553,71.8304906948745,31,165.833333333333,1036.96166666667,143500.922396544,995735.780445173,5159.61939346645
2014,WI,Cold-Open,Sep,Weekday,1835.27525826446,586.419152676538,1.88248847926267,3454.88452995868,1103.92729893256,4.34,422.874483471074,135.119620432382,25,108.5,527.46,343887.422625869,1218655.48132854,18257.311825791
2014,WI,Cold-Open,Sep,Weekend,1077.91123160457,321.918380114229,2.95139575568571,3181.34263396368,950.108540746353,5.34430894308943,201.693285901517,60.2357355351793,41,219.116666666667,1425.01027777778,103631.443455369,902706.239199164,3628.34383546406
2014,WI,Cold-Open,Sep,All,2913.18648986903,668.968509035544,2.27799599751017,6636.22716392236,1456.48951953926,4.66432408575209,624.567769372591,147.938012901536,66,327.616666666667,1952.47027777778,447518.866081238,2121361.72052771,21885.6556612551
2014,WI,Cold-Open,All,Weekday,6542.80409566971,821.65177372805,2.10090936925314,13745.8384257803,1692.99939066542,4.68517545227701,1396.49073173767,179.55988029576,114,534.45,2969.76861111111,675111.63727045,2866246.93679349,32241.7506118275
2014,WI,Cold-Open,All,Weekend,5090.83905791837,701.206862326368,2.68748895768602,13681.5737535123,1871.35591824938,5.5522481073025,916.896896452219,127.314457789,164,919.633333333333,6199.93166666667,491691.06377359,3501972.97276698,16208.9711621071
2014,WI,Cold-Open,All,All,11633.6431535881,1080.18641957953,2.35759441966667,27427.4121792926,2523.53321942876,5.02883434311906,2313.38762818989,220.115246573096,278,1454.08333333333,9169.70027777778,1166802.70104404,6368219.90956047,48450.7217739346
2014,WI,Warm-Open,May,Weekday,139.682996615269,33.3821735017009,1.10728346456693,154.668672433246,36.9635287297377,4.23333333333333,32.9959834524257,7.88555279567738,4,16.9333333333333,93.4305555555556,1114.36950769766,1366.30245615415,62.1819428934154
2014,WI,Warm-Open,May,Weekend,139.784356799127,37.1629846604514,2.67207792207792,373.51469365481,99.3023908297126,5.13333333333333,27.2307188569728,7.2395424663217,7,35.9333333333333,219.461111111111,1381.08742887294,9860.96482449699,52.4109751216752
2014,WI,Warm-Open,May,All,279.467353414396,49.9545487075062,1.88996446144771,528.183366088055,105.958799920776,4.64025660874984,60.2267023093985,10.7048081727367,11,52.8666666666667,312.891666666667,2495.45693657061,11227.2672806511,114.592918015091
2014,WI,Warm-Open,Jun,Weekday,679.106629055007,157.633933066752,1.67928843710292,1140.41590973202,264.712841094053,5.96212121212121,113.903526093089,26.4392365499508,11,65.5833333333333,443.038611111111,24848.4568540933,70072.8882400854,699.033229344256
