YEAR,ROUTE,WATERS,MUNIT,FISHERY,DAYTYPE,MONTH,SPECIES,INDHRS,HARVEST,SDHARVEST,VHARVEST,HRATE
2014,ash,WI,WI-2,Cold-Open,Weekday,Jun,Lake Trout,1272.53459500032,30.0776347055424,33.4614936907369,1119.67156001522,0.0236360055150679
2014,ash,WI,WI-2,Cold-Open,Weekday,Jun,Brown Trout,1272.53459500032,15.0388173527712,17.6487029443269,311.476715617095,0.011818002757534
2014,ash,WI,WI-2,Cold-Open,Weekday,Jun,Coho,1272.53459500032,45.1164520583135,35.6147975894976,1268.41380734089,0.0354540082726019
2014,ash,WI,WI-2,Cold-Open,Weekday,Jul,Lake Trout,1547.99952791853,536.878448989085,209.030547749723,43693.7698925493,0.346820809248555
2014,ash,WI,WI-2,Cold-Open,Weekday,Aug,Lake Trout,1955.54184223367,197.603404716725,95.2957477364473,9081.2795366486,0.101047904191617
2014,ash,WI,WI-2,Cold-Open,Weekday,Sep,Lake Trout,1004.64426392428,84.2763451037495,83.8566900299703,7031.94446278253,0.0838867528836071
2014,ash,WI,WI-2,Cold-Open,Weekday,Sep,Coho,1004.64426392428,42.1381725518748,36.9972181679086,1368.79415216383,0.0419433764418036
2014,ash,WI,WI-2,Cold-Open,Weekday,All,Lake Trout,5780.7202290768,848.835833515102,246.833274604531,60926.6654519956,0.146839113445673
2014,ash,WI,WI-2,Cold-Open,Weekday,All,Brown Trout,1272.53459500032,15.0388173527712,17.6487029443269,311.476715617095,0.011818002757534
2014,ash,WI,WI-2,Cold-Open,Weekday,All,Coho,2277.1788589246,87.2546246101883,51.3537531199494,2637.20795950471,0.0383169834324715
2014,ash,WI,WI-2,Cold-Open,Weekend,May,Brown Trout,1507.50670325454,174.166371364453,169.061919378984,28581.9325841062,0.115532734274711
2014,ash,WI,WI-2,Cold-Open,Weekend,May,Coho,1507.50670325454,232.221828485937,136.554312338039,18647.0802181146,0.154043645699615
2014,ash,WI,WI-2,Cold-Open,Weekend,May,Rainbow Trout,1507.50670325454,19.3518190404948,21.0416144608319,442.749539118289,0.0128369704749679
2014,ash,WI,WI-2,Cold-Open,Weekend,May,Northern Pike,1507.50670325454,19.3518190404948,20.5309225718794,421.518781652507,0.0128369704749679
2014,ash,WI,WI-2,Cold-Open,Weekend,Jun,Lake Trout,519.624725594308,128.12664466709,72.9226673904577,5317.71541933933,0.246575342465753
2014,ash,WI,WI-2,Cold-Open,Weekend,Jul,Lake Trout,1378.91727198289,301.196946781246,142.481296385825,20300.9198197853,0.218430034129693
2014,ash,WI,WI-2,Cold-Open,Weekend,Jul,Brown Trout,1378.91727198289,18.8248091738279,19.3241630952058,373.423279330112,0.0136518771331058
2014,ash,WI,WI-2,Cold-Open,Weekend,Aug,Lake Trout,2314.66198250729,560.778592253228,191.331897402427,36607.894963613,0.242272347535505
