YEAR,ROUTE,WATERS,MUNIT,FISHERY,DAYTYPE,MONTH,PHOURS,SDPHOURS,PARTY,INDHRS,SDINDHRS,MTRIP,TRIPS,SDTRIPS,NINTS,HOURS,USSHOURS,VPHOURS,VINDHRS,VTRIPS
2014,ash,WI,WI-2,Cold-Open,Weekday,May,27.1957284194603,8.31613681749386,1,27.1957284194603,8.31613681749386,2.25,12.086990408649,3.69606080777505,1,2.25,5.0625,69.1581315672768,69.1581315672768,13.6608654947707
2014,ash,WI,WI-2,Cold-Open,Weekday,Jun,495.278384817931,219.679735556313,2.56933198380567,1272.53459500032,564.430170758806,5.63666666666667,87.8672474543934,38.9733416125925,6,32.9333333333333,197.756666666667,48259.1862140916,318581.417662815,1518.92135645183
2014,ash,WI,WI-2,Cold-Open,Weekday,Jul,773.999763959264,139.445013696543,2,1547.99952791853,278.890027393087,6.4875,119.306321997574,21.4944144426271,4,25.95,184.3975,19444.9118448292,77779.6473793168,462.009852231418
2014,ash,WI,WI-2,Cold-Open,Weekday,Aug,739.549038763893,118.184333658065,2.64423552696685,1955.54184223367,312.507213789558,5.61388888888889,131.735603144484,21.0521326654642,6,33.6833333333333,194.994722222222,13967.5367222007,97660.7586705125,443.192289764306
2014,ash,WI,WI-2,Cold-Open,Weekday,Sep,616.270773571168,275.273867633266,1.63019943019943,1004.64426392428,448.751302164544,4.17857142857143,147.483603931562,65.8775067840295,7,29.25,132.613055555556,75775.7022017768,201377.731194373,4339.84590007985
2014,ash,WI,WI-2,Cold-Open,Weekday,All,2652.29368953172,396.883478006411,2.18977105756403,5807.91595749626,833.947668045535,5.32076498476762,498.479766936662,82.3263643313743,24,124.066666666667,714.824444444444,157516.495114466,695468.713038585,6777.63026402218
2014,ash,WI,WI-2,Cold-Open,Weekend,May,849.222325560379,260.858388350641,1.77516141283707,1507.50670325454,463.065745214924,3.98939393939394,212.870009445442,65.3879742922229,11,43.8833333333333,213.9575,68047.0987728936,214429.884391453,4275.5871820404
2014,ash,WI,WI-2,Cold-Open,Weekend,Jun,281.5227109213,119.429911240009,1.84576485461441,519.624725594308,220.439532756528,6.59166666666667,42.7088815556965,18.1183177608105,4,26.3666666666667,187.912777777778,14263.5036987965,48593.5876019165,328.273438481702
2014,ash,WI,WI-2,Cold-Open,Weekend,Jul,597.687691269034,156.343807699227,2.30708661417323,1378.91727198289,360.69870595176,5.29166666666667,112.948855042967,29.5452864943422,6,31.75,179.4075,24443.3862058929,130103.556475275,872.923954032757
2014,ash,WI,WI-2,Cold-Open,Weekend,Aug,931.408121615993,161.19802127757,2.48512110726644,2314.66198250729,400.596605126474,4.81666666666667,193.371928363182,33.4667172202568,10,48.1666666666667,250.383333333333,25984.8020638039,160477.640038856,1120.02116150063
2014,ash,WI,WI-2,Cold-Open,Weekend,Sep,144.786718661953,43.2665987309616,2.18714011516315,316.668840528397,94.6301137311532,3.47333333333333,41.6852356992186,12.4567942603536,5,17.3666666666667,65.0733333333333,1871.99856574605,8954.85842477098,155.171723244779
2014,ash,WI,WI-2,Cold-Open,Weekend,All,2804.62756802866,366.893430449679,2.15264928316705,6037.37952386743,750.039683571656,4.64661644296867,603.584910106507,82.1704171785702,36,167.533333333333,896.734444444444,134610.789307133,562559.52693227,6751.97745930027
2014,ash,WI,WI-2,Cold-Open,All,May,876.418053979839,260.990913451907,1.75110773301038,1534.702431674,463.140413398593,3.89593591018857,224.956999854091,65.4923510612894,12,46.1333333333333,219.02,68116.2569044609,214499.04252302,4289.24804753517
2014,ash,WI,WI-2,Cold-Open,All,Jun,776.801095739231,250.045375707866,2.30710194723547,1792.15932059463,605.949672220995,5.94902836857114,130.57612901009,42.9790041175169,10,59.3,385.669444444444,62522.6899128881,367175.005264731,1847.19479493353
2014,ash,WI,WI-2,Cold-Open,All,Jul,1371.6874552283,209.495341358041,2.13380736897843,2926.91679990142,455.942105814534,5.90594996721585,232.255177040542,36.5367459725709,10,57.7,363.805,43888.2980507222,207883.203854591,1334.93380626417
2014,ash,WI,WI-2,Cold-Open,All,Aug,1670.95716037989,199.880811450236,2.55554356867542,4270.20382474096,508.07322179915,5.1397060924148,325.107531507666,39.5374942461575,16,81.85,445.378055555556,39952.3387860047,258138.398709368,1563.21345126494
2014,ash,WI,WI-2,Cold-Open,All,Sep,761.057492233121,278.653370278421,1.73615412493429,1321.31310445268,458.620310953565,4.02316519844681,189.16883963078,67.044892596861,12,46.6166666666667,197.686388888889,77647.7007675229,210332.589619144,4495.01762332463
2014,ash,WI,WI-2,Cold-Open,All,All,5456.92125756038,540.488005807343,2.17069202986069,11845.2954813637,1121.61858043225,4.95154356294338,1102.06467704317,116.316841959032,60,291.6,1611.55888888889,292127.284421599,1258028.23997086,13529.6077233224
2014,ash,WI,WI-2,Warm-Open,Weekday,May,1337.22403887687,408.907527366846,2.23546248870142,2989.31417789905,914.097438776232,7.90238095238095,169.217865721086,51.7448513088507,14,110.633333333333,932.323333333333,167205.365937268,835574.127577267,2677.52963697506
2014,ash,WI,WI-2,Warm-Open,Weekday,Jun,4255.98531083424,1887.73375999301,2.29475853945819,9766.45863584548,4331.89316596748,6.18888888888889,687.681648070165,305.019817593126,46,283,2119.59,3563538.74861736,18765298.4013557,93037.0891245438
2014,ash,WI,WI-2,Warm-Open,Weekday,Jul,2192.25366670543,394.959865383274,2.32721088435374,5101.83659442128,919.154897602843,5.65384615384615,387.745546492117,69.8568469385382,13,73.5,479.793333333333,155993.295263574,844845.725787292,4879.97906419435
2014,ash,WI,WI-2,Warm-Open,Weekday,Aug,2567.3805323936,410.282674391381,2.33437856328392,5993.23807861209,957.755079986037,5.31515151515152,483.030544863107,77.1911531067022,22,116.933333333333,779.336111111111,168331.872905744,917294.79323906,5958.47411794234
2014,ash,WI,WI-2,Warm-Open,Weekday,Sep,1062.23309974518,474.474900051641,2.54115702479339,2699.30110338551,1205.71522535437,6.30208333333333,168.552690207499,75.288579181748,8,50.4166666666667,394.505833333333,225126.430779015,1453749.20465133,5668.37015520633
